"",gene_symbol,GSM2691349,GSM2691350,GSM2691351,GSM2691352,GSM2691353,GSM2691354,GSM2691355,GSM2691356,GSM2691357,GSM2691358,GSM2691359,GSM2691360
ENSG00000161270,NPHS1,1,0,1,1.2527,1,0,0,0,1.1181,4.226,0,0
ENSG00000161277,THAP8,119.0001,104.0001,134,90,251.0001,207.0001,187,226,317.0008,165.0002,201.0001,213.0003
ENSG00000161281,COX7A1,269.9996,116.9998,405.9994,204.9997,377.9993,459.9989,252.9995,257.9996,773.9975,513.9987,319.9993,213.9997
ENSG00000161298,ZNF382,38.924,50.5204,51.0614,34.6744,70.9727,99.2607,68.9481,71.0705,55.5555,65.4363,58.0267,55.107
ENSG00000161328,LRRC56,0,0,0,11.6667,6.3684,0,63.1999,47.125,0,19.242,38.5275,40.1999
ENSG00000161381,PLXDC1,5.8597,13.3322,16.5179,6.4611,11.696,8.3939,10.3266,3.6315,9.3358,9.8112,10.5955,7.9098
ENSG00000161395,PGAP3,1218.0005,335.0001,476.0004,323.0003,1048.0008,661.9993,1380.0009,1195.999,1413.0012,675.0009,1167.0004,1124.0013
ENSG00000161405,IKZF3,7.0335,14.9155,24.4438,7.2584,54.853,24.6798,28.1813,29.055,42.0834,26.2159,38.1938,50.2602
ENSG00000161509,GRIN2C,3,4,2,5,9,7,5,4,10,11,8,6
ENSG00000161513,FDXR,255.0002,176,153.0002,213.0001,247.0002,523.001,82.9999,110.0002,259.0001,558.0004,123,119
ENSG00000161526,SAP30BP,705,1067.999,1150.0001,1012.999,945.0003,721,959.0014,886.0007,1060.0001,1046.0003,891.9992,851.0005
ENSG00000161533,ACOX1,1632.5294,1275.9907,1531.9983,1408.5675,1795.7828,2116.8826,1498.4637,1439.908,1598.069,1101.9089,1361.9953,1186.2766
ENSG00000161542,PRPSAP1,1996.5586,700.9425,675.4473,776.2027,1040.1654,638.3398,1156.8518,1263.4477,957.0154,928.7162,878.0177,1261.0929
ENSG00000161544,CYGB,2,68,287.9992,24,35.0001,26,22,25,41.9999,434.682,70.0001,25
ENSG00000161547,SRSF2,1237.8271,3433.9736,2525.9333,3513.9282,1878.3811,1584.3315,1612.2688,1722.5293,2825.2053,2252.9926,1852.4611,2123.8038
ENSG00000161551,ZNF577,194.8033,61.6429,96.3481,39.7776,264.931,189.1403,297.7967,259.3435,363.1194,346.8026,182.7351,208.0024
ENSG00000161558,TMEM143,227.0001,75.9999,80.9999,85.0002,311.0002,267.0001,407.9999,296.0003,255.0002,249,197.9999,187.9999
ENSG00000161594,KLHL10,3,1,0,1,3,1,0,1,1,1,3,0
ENSG00000161609,CCDC155,1,0,2,0,7,1,5,2,3,3,2,0
ENSG00000161610,HCRT,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000161618,ALDH16A1,261.0001,303.0054,389.0542,401.0004,296.0001,213.0139,381.8036,476.6924,525.0003,478.0017,371.6974,443.7888
ENSG00000161634,DCD,1,0,1,1,3,3,0,0,1,1,0,0
ENSG00000161638,ITGA5,1226.0018,4002.9994,4098.9978,3855.9985,5386.9758,5295.0072,2129,2820.002,2945.0021,1031.997,2738.0018,2577
ENSG00000161640,SIGLEC11,3.0115,4.753,3.0011,0,5.5042,9.3906,4.0018,6.0108,6.4192,4.5024,4.0023,0
ENSG00000161642,ZNF385A,113,155,121,162.0002,73.0449,51.0001,17.0734,33.8804,86,45,32.0327,48.8734
ENSG00000161643,SIGLEC16,2,1.247,1,2,4.5275,4.5215,0,1,8.6316,3.4976,5,1.0338
ENSG00000161647,MPP3,45.0001,114.0002,186.9997,89.0001,35,47,43,48.9999,108.0001,204.0001,118.0002,88.9999
ENSG00000161649,CD300LG,1.0447,0,0,0,1,0,0,3,1,0,1,0
ENSG00000161652,IZUMO2,5,11,6.0793,5,0,1,3.02,2.619,3.195,1.0134,4.39,4.7188
ENSG00000161653,NAGS,64.0001,58.0001,50,57,70.0001,60.0001,26.9999,49,78.0003,84.0001,39,34.0001
ENSG00000161654,LSM12,535.9044,882.6554,844.0756,966.7685,783.9331,587.455,547.006,654.0208,678.0019,664.0726,511.7196,615.8889
ENSG00000161664,ASB16,11.0062,23.2822,13.0564,14.9074,23.5676,15.9537,29.1888,26.0001,31.3397,15,10.1359,24.0675
ENSG00000161671,EMC10,1460.3849,2549.9825,3600.1939,2598.2403,1624.0409,1325.3566,1154.6649,1245.6884,1521.6658,583.6193,1570.3644,1491.9217
ENSG00000161677,JOSD2,307.9993,289.9994,354.9993,320.9993,494.9991,433.9996,496.9994,612.9994,706.9989,385.999,609.999,631.9989
ENSG00000161681,SHANK1,0,0,0,0,0,0,1,1,0,1,0,1
ENSG00000161682,FAM171A2,97.0001,18,97,21,46.0001,38,106,69.0001,28,72.0003,68.9998,58.0001
ENSG00000161692,DBF4B,98.3637,222.0002,122.3325,231.0076,105.5776,93.4975,137.9828,79,89.0177,141.7141,74.0322,67.3112
ENSG00000161714,PLCD3,6042.5152,3906.6713,4089.9435,5116.4163,5416.7063,4571.7124,4446.9889,3420.0496,3498.0866,1372.0532,3982.4803,2816.6464
ENSG00000161791,FMNL3,42.0537,111.7295,159.3807,68.3574,41.0479,24,34.0094,28,22.0091,20.0937,28.4732,41.227
ENSG00000161798,AQP5,2,3,0,3,0,0,1,1,0,3,0,1
ENSG00000161800,RACGAP1,491,1707.9971,636.0014,1963.9988,194.9998,291.0001,147.9999,165,189,107,265.0002,243.0001
ENSG00000161807,OR7G1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000161813,LARP4,414.0003,1158.9996,824.9973,1103.9977,569.0001,428.9998,299.0375,489.9995,645.9994,307.9993,349.9999,421
ENSG00000161835,GRASP,2,3,4,0,2,0,0,2,9,77.0001,10,4
ENSG00000161847,RAVER1,479.2738,731.8676,584.7848,846.079,668.4534,767.8251,752.1802,522.3773,514.3936,361.6445,607.6517,520.0817
ENSG00000161849,KRT84,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000161850,KRT82,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000161860,SYCE2,14,10,3,5,6,2,12.8296,6,8,28.9276,12,7
ENSG00000161888,SPC24,68.0001,173.408,45.2625,259.6622,41.0353,35,23.4978,20.2664,54,105.011,18.0241,34.1019
ENSG00000161896,IP6K3,32.9999,22,16,37,50.9999,34.0001,285.0001,57.9999,193.0002,61.9999,87.9999,41.0002
ENSG00000161904,LEMD2,924.0001,1056.0008,1072.0012,1099.0005,1200.0005,1253.0007,1558.0019,1271.0025,1289.0006,1229.001,933.001,959.9991
ENSG00000161905,ALOX15,107.0001,43.027,35.4276,45.7748,53.0942,29,40,22.0602,17,12,21.0551,38.4354
ENSG00000161911,TREML1,0,0,0,0,0,0,2,0,1,1,0,0
ENSG00000161912,ADCY10P1,107.0001,38,83.1529,35.0316,110.5983,120.9998,173.3377,175.0659,142.621,153,65.0527,99.0468
ENSG00000161914,ZNF653,58.9999,74.0001,89.0001,100,85.0001,86,97.0001,94.8637,119,126,94,98.0002
ENSG00000161920,MED11,237,230.9996,219,231.5342,225.9993,225.9993,195.0842,203.0001,311.0449,258.2315,216.0669,206.0403
ENSG00000161921,CXCL16,447.9364,735.0001,529.9857,549.6275,493.6456,335.7946,87.613,48.3853,311.9063,401.0008,261.0002,103.3938
ENSG00000161929,SCIMP,7.0868,6.0247,10.5726,10,10.8256,17.5066,4.929,4.0972,19.7552,7.3355,7.0717,12.3369
