"ENSEMBL","GSM2691349","GSM2691350","GSM2691351","GSM2691352","GSM2691353","GSM2691354","GSM2691355","GSM2691356","GSM2691357","GSM2691358","GSM2691359","GSM2691360"
"ENSG00000231617",4.93922144475379,4.57467342332638,4.03021456175531,4.73035159831071,3.44876436722023,4.43358808840826,4.42906277602659,0.285392324665097,1.11687372890665,2.34130209960116,4.21655047552441,3.59634314424136
"ENSG00000231618",2.93807474078204,3.26408043624857,4.15030955201126,3.22637560272679,3.44185010076428,2.76373160816574,3.75406482835924,3.62930594908114,2.64603415762861,2.23691927996441,3.94561301377057,4.00624210099181
"ENSG00000231631",2.70844008669613,2.31863286181869,2.24171722062945,2.46389693134114,3.64213764206294,2.79660472991171,2.21996886993931,1.20942207834112,1.31470759010302,1.52928238323769,0.587467372727058,1.37894232623067
"ENSG00000231641",0.645117514350209,0.451404072089611,0,0,0,0.209799196525036,0,4.89817019416772,0.14567923229974,3.58781864111569,1.4787367077861,4.73701718715043
"ENSG00000231652",1.15720837677899,0.70467526914974,0.336452121419078,0.69869972358033,0.791498368974311,0.334429452756105,0.393541767403583,0.467590289513246,0.845498256511136,0.305448530822563,0.223466470493729,1.11048542514624
"ENSG00000231663",0.73672424917367,0.336177578210553,0.336452121419078,0.391240530761605,0.503491911649614,0.273459712342044,0.74802982761409,1.51566399177195,0.757564247365244,1.34068651383972,0.833361752004048,1.11048542514624
"ENSG00000231683",0.386881160356215,0.143998014131414,0.336452121419078,0.272238756346569,1.17179739734496,0.555405467980339,0.995022808830403,0.864161302871797,1.11687372890665,2.99207631182685,0.921072866941402,0.684541406900339
"ENSG00000231737",2.98553354686476,3.02458236544241,3.2333858122516,3.04768064957104,3.04553154070102,2.8073980639798,3.27450962746653,3.21062217271374,3.9935218840716,2.93761345054957,3.42183748478457,3.52203626659312
"ENSG00000231768",0.442358861459901,0.210942949600328,0.558528031217983,0.332966289607976,0.876001258900228,0.555405467980339,0.334963243969018,0.409377317048747,0.614716263440118,0.372677438709318,1.00375567899258,1.43891807290653
"ENSG00000231784",0.329184495097343,0.394940896460766,0.144123485590281,0.208842255294676,0.654670110211998,0.746987328012527,0.702416989491073,1.4008451868491,1.28356232529711,0.614056083980642,0.787421894162884,0.870256404310905
"ENSG00000231789",1.8121982332762,0.837719034613585,1.33534402710792,0.912758579322055,1.35960694325347,0.916084840133319,0.917297258382669,1.90082644419793,0.968099796517171,1.69605012420553,1.96493435978365,2.18038587461669
"ENSG00000231825",4.45380248345733,5.59038800747979,0.211122619619928,5.46250033812822,4.15884131493753,3.99769304144098,5.47872566823519,5.04638849046696,3.18191410693948,2.58755922551464,4.72603569412306,4.73701718715043
"ENSG00000231826",4.18366936009515,6.2715674811069,5.2610981772808,6.35014377757324,2.78642378183297,1.89263898547781,2.11942905389886,1.74479515979758,3.19033502363888,2.61558358006994,3.63787243915443,3.34526357717109
"ENSG00000231834",5.63510357076304,5.61994117015516,1.91993697384535,0,5.07159872514168,6.44874964857702,6.5782552278105,0,5.73108256965328,4.55214435159036,6.37761419180503,0
"ENSG00000231851",1.70286436435889,0.558104335428078,0.395257194241378,0.603312850353625,1.26875613755096,0.875632037901119,1.33101871648159,1.06606039372517,0.456154050204978,0.234933009164455,0.921072866941402,0.733259056180363
"ENSG00000231889",1.01807302253111,1.17603903545337,0.795279430487873,0.69869972358033,1.47247368390602,0.79115581553123,0.956683405710213,1.17489497260839,1.08109368567093,1.74761419913111,0.921072866941402,1.11048542514624
"ENSG00000231890",0.822859904494135,1.17603903545337,1.30499396340286,0.830905641818144,1.85210044923756,1.29919807123598,1.41824919049945,2.0794427010142,2.68230799152995,2.70959182045696,1.78959904505161,1.84573556388369
"ENSG00000231920",0.547297263137361,0.0737948497354488,0,0.142531356925451,1.03146698170872,0.875632037901119,0.504012615302448,1.10325834149408,0.968099796517171,0.436912505233067,0.833361752004048,1.0347682338448
"ENSG00000231924",7.00315339975327,1.8576124520876,2.07186614513271,3.48906267272291,0.606016562069009,0.654374189489926,0.504012615302448,1.24314214546771,0.456154050204978,0.305448530822563,0.64011354574165,1.49649970387683
"ENSG00000231925",1.12366218205693,5.62301710195544,5.10470497197644,4.54063035211973,5.44104300839625,0.654374189489926,3.37968053953105,0.864161302871797,0.80220110879602,0.372677438709318,3.48075924522777,1.77768863877884
"ENSG00000231945",4.23562680817355,6.2676419230054,6.33614699067595,6.25134641528384,4.69207120316752,4.90233199862428,5.15389100796167,5.28563747887536,5.48292685942508,6.03972657188825,5.01973913518437,4.95551534597993
"ENSG00000232005",2.66245687102034,1.14213505675618,2.15928984958962,2.0769170868252,2.08294618315314,1.74325988267019,2.21996886993931,1.62201460285986,1.84926207029433,0.913998391508788,1.4197305723606,1.18242611819698
"ENSG00000232040",2.76393171611585,2.30337487907281,2.68044632625187,2.51720764264324,3.19282434952312,2.96993715289597,2.08429609184301,2.99995176514795,2.65822705433213,2.16288387522141,2.31179600058068,2.48066122190082
"ENSG00000232045",1.1899922329484,3.81970603609693,3.60125212226099,0.830905641818144,3.08156583354955,0.993738793535177,3.25883922844166,4.33198415977354,2.1375178212982,3.46996007471427,3.48795809840318,3.89822714713288
"ENSG00000232063",2.21397027395184,2.8038240269406,2.7383764965256,2.92483224383617,2.66104693765821,2.06444133143627,1.81102484321012,2.04161741531275,1.54227019962384,0.913998391508788,1.19184002366704,1.57877963640096
"ENSG00000232070",1.01807302253111,0.336177578210553,0.144123485590281,0.744127868722611,1.03146698170872,0.555405467980339,1.13893780319487,0.948340673323152,1.11687372890665,0.913998391508788,1.22668382867242,1.07312350715689
"ENSG00000232112",5.74949200858045,6.41511202316914,6.44540284849667,6.34738661377278,5.92416207975163,6.05145950669739,6.32059790050457,6.41119167387976,6.86149301868925,6.89147436650423,6.31220190437849,6.50564121024115
"ENSG00000232119",4.32689290251157,5.37558525896508,5.08920475660042,5.12101503935153,4.74358563501154,4.55062769109582,4.26617935943176,4.79679765278779,4.89695569684307,4.60552253090307,4.30071940240645,4.59924971943363
"ENSG00000232126",2.29154640661243,4.83555921228432,5.46701224413554,0,3.17625624573447,4.18315428748924,0,3.21911931442204,2.08429105003836,1.98095199294063,0,2.86645441574674
"ENSG00000232143",1.48239460579504,3.44876884084376,3.57605562948886,3.05671104829628,3.46931053851144,2.6484077025237,1.60335602857461,3.89097278022429,1.64386877162468,1.64257454107344,1.53542402502511,2.96153064645504
"ENSG00000232160",2.06286690106047,1.55670644056655,1.39419337468134,1.57190207150142,1.9332231051517,1.57660817234162,1.20584687379445,1.48780456322526,1.97155733884039,1.19969767152483,1.61648553865757,1.40924184124372
"ENSG00000232164",2.00876501405433,2.12393592084309,2.05372722012527,1.98529867237562,2.45671084484292,2.13468839719708,2.4304460164828,1.96285502031546,2.3478576616811,1.74761419913111,1.53542402502511,1.9728972725209
"ENSG00000232169",4.04270587790792,3.9330969878343,3.54392829103401,3.96730428052738,3.76356301516443,4.1368380245851,4.285642300864,3.31736301803154,4.4826239831664,3.86380568738252,4.44825691496943,3.49403768614903
