"SYMBOL","logFC","AveExpr","t","P.value","adj.P.value","B","contrast","ensembleID"
"PLGRKT",-1.05092944952029,3.18226468289605,-4.78930987374118,0.000453695010082877,0.0100282685703851,-0.0492781510160016,"HAEC-control","ENSG00000107020"
"TBC1D13",0.472451397456083,4.91411443965252,2.75185556907627,0.0176793883494388,0.073840232819433,-3.95483999148486,"HAEC-control","ENSG00000107021"
"RIC1",0.207406828044573,5.49761028359528,1.00302476287757,0.335836615016056,0.501085979681654,-6.61378782273495,"HAEC-control","ENSG00000107036"
"KDM4C",0.471342457853584,4.90452949732505,2.83850215009695,0.0150648509683877,0.0672241327656843,-3.7953295625195,"HAEC-control","ENSG00000107077"
"DOCK8",-0.212695190329261,1.97639791416026,-0.379417150828754,0.711071289725508,0.81679374228163,-6.44119790038084,"HAEC-control","ENSG00000107099"
"KANK1",0.70007730612686,7.14322502175615,2.60970805074108,0.0229699968568111,0.0861264343165754,-4.15999422710531,"HAEC-control","ENSG00000107104"
"ELAVL2",-0.958669747002705,-0.687359678389564,-1.44067318716342,0.175502326588536,0.328550306971306,-5.11132027906065,"HAEC-control","ENSG00000107105"
"NCS1",-1.25356838265295,4.70243905325901,-2.76349855271724,0.0173035379786587,0.0728365835552238,-3.89563054815252,"HAEC-control","ENSG00000107130"
"TESK1",0.123919444356722,5.23638375185215,0.692519540088401,0.501920385573012,0.653309836984985,-6.86610720375121,"HAEC-control","ENSG00000107140"
"CA9",4.30898788053496,-0.673231728572826,2.05182919848818,0.0628959941389102,0.166009179387481,-4.09969705699192,"HAEC-control","ENSG00000107159"
"FUBP3",-0.266183735810681,5.50321402015009,-1.51950172303726,0.154786343461354,0.302411683821248,-5.99653834155446,"HAEC-control","ENSG00000107164"
"CREB3",0.0199672914558731,5.46055219314493,0.117508581041721,0.908419825493914,0.945456281545686,-7.12558848571177,"HAEC-control","ENSG00000107175"
"RGP1",-0.207927565621936,5.84579258289505,-1.03922050262278,0.319385958071546,0.484520189313561,-6.56540266334009,"HAEC-control","ENSG00000107185"
"MPDZ",-0.453572969119558,4.84949032537596,-1.88142267212991,0.084632148426192,0.201602313213726,-5.4504365406954,"HAEC-control","ENSG00000107186"
"DDX58",0.879664596861951,3.50239313962626,0.806958242532686,0.435544700758623,0.593432986965255,-6.64467694781928,"HAEC-control","ENSG00000107201"
"EDF1",0.180837894619834,6.7682684369339,1.1464871047984,0.274155485495396,0.439840677250032,-6.41610475920116,"HAEC-control","ENSG00000107223"
"PIP5K1B",0.171396567264538,-0.616286506770853,0.185923440020198,0.855640743465888,0.914424640475779,-6.07685513167239,"HAEC-control","ENSG00000107242"
"GLIS3",0.0627600817293894,4.0930152940182,0.216202412592008,0.83249681447027,0.90026355724429,-7.01193739351413,"HAEC-control","ENSG00000107249"
"BAG1",-0.10041232490832,4.86386844319059,-0.595963188607019,0.562379794275778,0.704466586350437,-6.9055690390955,"HAEC-control","ENSG00000107262"
"RAPGEF1",0.420175370073474,5.92384870369403,2.16748971794755,0.0512375743607063,0.145196421397142,-4.99642684888239,"HAEC-control","ENSG00000107263"
"NPDC1",-3.35975962979483,1.46501474588871,-3.14729418252961,0.00850929924918757,0.0478701841877581,-2.61601400880446,"HAEC-control","ENSG00000107281"
"APBA1",0.524759833689899,1.75742370202221,0.777597727392063,0.452010003085447,0.608717649687753,-6.26042037991624,"HAEC-control","ENSG00000107282"
"SETX",-0.124523377831158,5.86126970021414,-0.972109603531863,0.350368463594509,0.515123291649518,-6.63555462453372,"HAEC-control","ENSG00000107290"
"PTGDS",4.0184788013959,0.0471638832537747,2.63760068378283,0.0218219146224527,0.0834930813559146,-3.26594972220194,"HAEC-control","ENSG00000107317"
"ABCA2",0.658730982383613,5.58127603807949,2.74107409903245,0.0180346110915278,0.0746794755942801,-3.99827070095051,"HAEC-control","ENSG00000107331"
"SHB",-0.979695273030733,3.78949517240245,-3.31917322828751,0.00619570457156481,0.0397479062736494,-2.77294614021065,"HAEC-control","ENSG00000107338"
"UBE2R2",0.159783375099824,6.39501886876948,0.867794943579582,0.402691479887443,0.563095955768667,-6.70715050234672,"HAEC-control","ENSG00000107341"
"ABHD17B",-0.0332648626784176,2.90602236748674,-0.118189412275225,0.907891884034393,0.945228454356155,-6.70960562515707,"HAEC-control","ENSG00000107362"
"EXOSC3",-0.196628741412433,3.3046071095817,-0.746350544838545,0.469964249904304,0.625508447750151,-6.54169244260955,"HAEC-control","ENSG00000107371"
"ZFAND5",0.124113995242176,7.94919655765634,0.377579828265389,0.712400134989685,0.817820866273104,-6.88882872996773,"HAEC-control","ENSG00000107372"
"DVL1",0.0897962183721202,6.71346052570845,0.481521867756845,0.638891317776577,0.762937108409966,-6.95848156872767,"HAEC-control","ENSG00000107404"
"PDLIM1",0.0148126315733972,8.75739408452757,0.0572055069643401,0.955332141711599,0.973830101674093,-6.89826210736566,"HAEC-control","ENSG00000107438"
"CCNJ",-1.56410381578875,2.81314596885122,-3.69533237896751,0.00311067309720121,0.0271256960680954,-1.86555626668431,"HAEC-control","ENSG00000107443"
"GATA3",1.26162506063262,8.38016614075787,4.80458222634839,0.000442127194818148,0.00994322083296582,-0.0803146751357033,"HAEC-control","ENSG00000107485"
"HPS1",0.173253845914227,5.72448011866515,1.09040637251286,0.297151342098918,0.463885931068668,-6.52373555236839,"HAEC-control","ENSG00000107521"
"PHYH",0.463901279919155,3.68032499500548,1.5715831310408,0.14227961794426,0.285567141476739,-5.68579932645681,"HAEC-control","ENSG00000107537"
"RASSF4",3.44140824076055,3.53615799295475,4.28397134795534,0.00108492652796083,0.0154537569334677,-0.804619389403217,"HAEC-control","ENSG00000107551"
"DNMBP",-0.363910169340143,5.77199065428001,-1.36887701120752,0.196357275745453,0.354024693733819,-6.1877096966105,"HAEC-control","ENSG00000107554"
"RAB11FIP2",-0.070015764746703,4.06205884467631,-0.287967704257498,0.778332214926865,0.864258494986711,-6.96898499217839,"HAEC-control","ENSG00000107560"
"ERLIN1",-0.15194459356085,5.73028742630796,-0.81595826620642,0.430576677319057,0.588310071254963,-6.78171298012609,"HAEC-control","ENSG00000107566"
"EIF3A",-1.02230768694863,7.60134657514152,-4.29149761662625,0.00107067712375123,0.0153507430183695,-1.02777470813492,"HAEC-control","ENSG00000107581"
"CUBN",0.376461651453509,1.47008849305126,0.85929508864713,0.407178499925406,0.566909815326665,-6.04863949049932,"HAEC-control","ENSG00000107611"
"TRDMT1",-0.922910866096547,1.49361131098649,-2.31787503725464,0.0391120555821982,0.120915260152096,-4.11331550485635,"HAEC-control","ENSG00000107614"
"DDX50",0.212431428271158,5.24731006261335,1.23346623906609,0.24124352282202,0.403878149563338,-6.35631871570136,"HAEC-control","ENSG00000107625"
"MAPK8",-0.996091519646512,4.40538819330904,-6.51630662648358,3.00402274811407e-05,0.00296276496733301,2.58375553400955,"HAEC-control","ENSG00000107643"
"SEC23IP",-0.393004125609015,5.07693051672048,-2.46547027786021,0.0299146670851223,0.102071437965286,-4.48246564233443,"HAEC-control","ENSG00000107651"
"ATE1",-1.48657636219461,3.24952995052684,-6.31585310861172,4.03035296579226e-05,0.00334595656541598,2.42234161919517,"HAEC-control","ENSG00000107669"
